2026-07-07 23:00:03 [info     ] SLOMonitor initialized         threshold_ms=200.0 violation_window=30
2026-07-07 23:00:03 [info     ] Algorithm1Controller initialized cooldown=15 weight_step=10
2026-07-07 23:00:03 [info     ] HAProxyWeightAdjuster initialized backend=servers host=localhost port=19999
2026-07-07 23:00:03 [info     ] GRUClient initialized          base_url=http://localhost:8090
2026-07-07 23:00:03 [info     ] K8sScaler initialized          deployment=test-app-warm namespace=default
2026-07-07 23:00:03 [info     ] RoutingDaemon initialized      decision_interval=15 description='Static routing to K8s cluster only' scenario=s1-k8s-only use_algorithm=False use_predictions=False
2026-07-07 23:00:03 [info     ] Starting routing daemon        interval=15 scenario=s1-k8s-only
2026-07-07 23:00:03 [info     ] Weights updated                k3s=100 knative=0
2026-07-07 23:00:03 [info     ] Initial weights applied        k3s=100 knative=0
2026-07-07 23:15:36 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:15:51 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:16:06 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:16:21 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:16:36 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:16:51 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:17:06 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:17:21 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:17:36 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:17:51 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:18:06 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:18:21 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:18:36 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:18:51 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:19:06 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:19:21 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
